date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
22/06/2020,Alabama,1,30021,839,29598,829,423,10
22/06/2020,Alaska,2,859,10,859,10,0,0
22/06/2020,Arizona,4,52666,1350,54586,,,
22/06/2020,Arkansas,5,15561,225,15561,225,0,0
22/06/2020,California,6,179852,5517,179852,5517,0,0
22/06/2020,Colorado,8,30524,1647,30349,,,
22/06/2020,Connecticut,9,45755,4260,45715,,,
22/06/2020,Delaware,10,10775,435,10681,,,
22/06/2020,District of Columbia,11,10020,533,10020,533,0,0
22/06/2020,Florida,12,97283,3160,97283,3160,0,0
22/06/2020,Georgia,13,61493,2603,61493,2603,0,0
22/06/2020,Guam,66,1191,6,1183,6,8,0
22/06/2020,Hawaii,15,802,17,803,,,
22/06/2020,Idaho,16,4025,108,3592,85,433,23
22/06/2020,Illinois,17,138154,6865,137154,6661,1000,204
22/06/2020,Indiana,18,43496,2540,42423,2350,1073,190
22/06/2020,Iowa,19,26050,686,26050,686,0,0
22/06/2020,Kansas,20,12326,258,12059,,,
22/06/2020,Kentucky,21,13968,544,13630,,,
22/06/2020,Louisiana,22,49890,3105,49778,2993,112,112
22/06/2020,Maine,23,2957,102,2629,102,328,0
22/06/2020,Maryland,24,64903,3066,64799,2937,104,129
22/06/2020,Massachusetts,25,107061,7857,107061,7857,0,0
22/06/2020,Michigan,26,67873,6094,61177,5847,6696,247
22/06/2020,Minnesota,27,32952,1412,32920,1380,32,32
22/06/2020,Mississippi,28,21022,943,20641,,21022,
22/06/2020,Missouri,29,18552,975,18531,975,21,0
22/06/2020,Montana,30,717,20,717,20,0,0
22/06/2020,Nebraska,31,17810,252,17810,252,0,0
22/06/2020,Nevada,32,13236,487,13236,487,0,0
22/06/2020,New Hampshire,33,5544,339,5544,339,0,0
22/06/2020,New Jersey,34,169142,12870,169142,12870,0,0
22/06/2020,New Mexico,35,10565,469,10565,469,0,0
22/06/2020,New York,36,392702,30884,388020,26202,4682,4682
22/06/2020,North Carolina,37,52976,1245,52976,1245,0,0
22/06/2020,North Dakota,38,3294,83,3288,77,6,6
22/06/2020,Ohio,39,44808,2700,44262,,,
22/06/2020,Oregon,41,6945,190,6344,119,601,71
22/06/2020,Pennsylvania,42,86024,6472,81266,,,
22/06/2020,Rhode Island,44,16337,894,16337,894,0,0
22/06/2020,South Carolina,45,24693,653,24661,653,32,0
22/06/2020,South Dakota,46,6297,81,6297,81,0,0
22/06/2020,Tennessee,47,34719,519,34474,267,245,252
22/06/2020,Texas,48,114951,2195,114715,2194,236,1
22/06/2020,Utah,49,17567,158,17567,113,0,45
22/06/2020,Vermont,50,1159,56,1159,56,0,0
22/06/2020,Virginia,51,58465,1620,57994,,,
22/06/2020,Washington,53,29797,1271,28986,1271,811,0
22/06/2020,West Virginia,54,2543,89,2452,89,91,0
22/06/2020,Wisconsin,55,24932,744,24830,744,102,0
22/06/2020,Wyoming,56,1197,20,947,,250,
